P, N, T
1, 150000000, 5.152821
1, 250000000, 7.545641
1, 350000000, 9.345231
1, 450000000, 11.912223
1, 550000000, 14.616208
2, 150000000, 2.063444
2, 250000000, 3.431092
2, 350000000, 4.841706
2, 450000000, 6.156308
2, 550000000, 7.484104
3, 150000000, 1.392563
3, 250000000, 2.304926
3, 350000000, 3.218586
3, 450000000, 4.149958
3, 550000000, 5.149249
4, 150000000, 1.048874
4, 250000000, 1.758414
4, 350000000, 2.511603
4, 450000000, 3.329474
4, 550000000, 3.845382
5, 150000000, 0.836004
5, 250000000, 1.383907
5, 350000000, 1.970294
5, 450000000, 2.529418
5, 550000000, 3.092383
6, 150000000, 0.735588
6, 250000000, 1.147067
6, 350000000, 1.648974
6, 450000000, 2.091468
6, 550000000, 2.575976
7, 150000000, 0.608159
7, 250000000, 1.025724
7, 350000000, 1.474211
7, 450000000, 1.819222
7, 550000000, 2.218129
8, 150000000, 0.545067
8, 250000000, 0.884727
8, 350000000, 1.242526
8, 450000000, 1.685427
8, 550000000, 1.946500
9, 150000000, 0.485188
9, 250000000, 0.930375
9, 350000000, 1.128005
9, 450000000, 1.419300
9, 550000000, 1.814224
10, 150000000, 0.570530
10, 250000000, 0.725041
10, 350000000, 1.054643
10, 450000000, 1.322264
10, 550000000, 1.638856
11, 150000000, 0.400530
11, 250000000, 0.663083
11, 350000000, 1.007482
11, 450000000, 1.230553
11, 550000000, 1.464275
12, 150000000, 0.461140
12, 250000000, 0.827952
12, 350000000, 0.838630
12, 450000000, 1.146737
12, 550000000, 1.531124
13, 150000000, 0.470153
13, 250000000, 0.644959
13, 350000000, 1.026540
13, 450000000, 1.483023
13, 550000000, 1.684952
14, 150000000, 0.490873
14, 250000000, 0.765441
14, 350000000, 1.110679
14, 450000000, 1.349097
14, 550000000, 1.705692
15, 150000000, 0.390971
15, 250000000, 0.542023
15, 350000000, 0.774238
15, 450000000, 1.012692
15, 550000000, 1.282349
16, 150000000, 0.338690
16, 250000000, 0.573005
16, 350000000, 0.845066
16, 450000000, 0.989966
16, 550000000, 1.250941
