P,N,T
1,150000000,2.811029
1,250000000,4.668792
1,350000000,6.565542
1,450000000,8.413364
1,550000000,10.304973
2,150000000,1.404314
2,250000000,2.322597
2,350000000,3.267749
2,450000000,4.215542
2,550000000,5.144775
3,150000000,0.931278
3,250000000,1.551216
3,350000000,2.173526
3,450000000,2.790581
3,550000000,3.420474
4,150000000,0.695497
4,250000000,1.151738
4,350000000,1.614359
4,450000000,2.074172
4,550000000,2.548114
5,150000000,0.555766
5,250000000,0.927831
5,350000000,1.298773
5,450000000,1.672541
5,550000000,2.039655
6,150000000,0.463113
6,250000000,0.772975
6,350000000,1.078857
6,450000000,1.385339
6,550000000,1.702706
7,150000000,0.397705
7,250000000,0.659677
7,350000000,0.928275
7,450000000,1.189434
7,550000000,1.457111
8,150000000,0.346953
8,250000000,0.576978
8,350000000,0.807614
8,450000000,1.040422
8,550000000,1.275985
9,150000000,0.308276
9,250000000,0.512607
9,350000000,0.720911
9,450000000,0.923817
9,550000000,1.136940
10,150000000,0.277163
10,250000000,0.464569
10,350000000,0.645966
10,450000000,0.830982
10,550000000,1.014738
11,150000000,0.252081
11,250000000,0.419479
11,350000000,0.586865
11,450000000,0.754802
11,550000000,0.923037
12,150000000,0.231210
12,250000000,0.384631
12,350000000,0.538335
12,450000000,0.693250
12,550000000,0.845950
13,150000000,0.213388
13,250000000,0.356636
13,350000000,0.496959
13,450000000,0.638532
13,550000000,0.780526
14,150000000,0.198131
14,250000000,0.330329
14,350000000,0.461648
14,450000000,0.593125
14,550000000,0.724787
15,150000000,0.185229
15,250000000,0.307756
15,350000000,0.430959
15,450000000,0.553769
15,550000000,0.676724
16,150000000,0.173751
16,250000000,0.289008
16,350000000,0.403956
16,450000000,0.519210
16,550000000,0.634293
