P, N, T
1, 100000000, 2.167657
1, 200000000, 4.615488
1, 300000000, 6.823298
1, 400000000, 8.467224
1, 500000000, 11.283268
2, 100000000, 1.133447
2, 200000000, 2.217439
2, 300000000, 3.343744
2, 400000000, 4.680019
2, 500000000, 5.662063
3, 100000000, 0.790958
3, 200000000, 1.593660
3, 300000000, 2.497748
3, 400000000, 3.181039
3, 500000000, 3.790118
4, 100000000, 0.606474
4, 200000000, 1.223040
4, 300000000, 1.916641
4, 400000000, 2.397997
4, 500000000, 3.000613
5, 100000000, 0.497094
5, 200000000, 1.027240
5, 300000000, 1.549653
5, 400000000, 1.990541
5, 500000000, 2.519591
6, 100000000, 0.470929
6, 200000000, 0.892011
6, 300000000, 1.318131
6, 400000000, 1.780761
6, 500000000, 2.289415
7, 100000000, 0.434831
7, 200000000, 0.791520
7, 300000000, 1.140944
7, 400000000, 1.553155
7, 500000000, 2.575469
8, 100000000, 0.493225
8, 200000000, 0.922179
8, 300000000, 1.396371
8, 400000000, 1.404971
8, 500000000, 1.943310
9, 100000000, 0.358110
9, 200000000, 0.677844
9, 300000000, 1.015872
9, 400000000, 1.332277
9, 500000000, 1.660507
10, 100000000, 0.314684
10, 200000000, 0.645371
10, 300000000, 1.041922
10, 400000000, 1.258862
10, 500000000, 1.582832
11, 100000000, 0.314929
11, 200000000, 0.641519
11, 300000000, 0.962466
11, 400000000, 1.208659
11, 500000000, 1.640723
12, 100000000, 0.337255
12, 200000000, 0.635461
12, 300000000, 0.987205
12, 400000000, 1.264108
12, 500000000, 1.602184
13, 100000000, 0.362027
13, 200000000, 0.636355
13, 300000000, 0.986536
13, 400000000, 1.337070
13, 500000000, 1.654946
14, 100000000, 0.348402
14, 200000000, 0.711643
14, 300000000, 0.959553
14, 400000000, 1.355810
14, 500000000, 1.942826
15, 100000000, 0.369965
15, 200000000, 0.703373
15, 300000000, 1.025710
15, 400000000, 1.457848
15, 500000000, 1.697571
16, 100000000, 0.340608
16, 200000000, 0.686718
16, 300000000, 0.966477
16, 400000000, 1.355228
16, 500000000, 1.751036
