n,serial_reflect,serial_absorb,serial_transmit,serial_prob_reflect,serial_prob_absorb,serial_prob_transmit,serial_time
25000000,2.455506,10809624,4988760,9201616,0.432385,0.199550,0.368065,
50000000,4.890864,21634117,9977592,18388291,0.432682,0.199552,0.367766,
75000000,7.340232,32452842,14958446,27588712,0.432705,0.199446,0.367849,
100000000,9.880641,43265922,19943665,36790413,0.432659,0.199437,0.367904,
125000000,12.349900,54085250,24926536,45988214,0.432682,0.199412,0.367906,
150000000,14.830562,64904017,29915170,55180813,0.432693,0.199434,0.367872,
175000000,17.271564,75716886,34895638,64387476,0.432668,0.199404,0.367928,
200000000,19.755510,86540300,39881159,73578541,0.432702,0.199406,0.367893,
225000000,22.179918,97352360,44871479,82776161,0.432677,0.199429,0.367894,
250000000,24.551048,108172334,49861212,91966454,0.432689,0.199445,0.367866,
