n,np,time,parallel_reflect,parallel_absorb,parallel_transmit,parallel_prob_reflect,parallel_prob_absorb,parallel_prob_transmit,
25000000,1,2.485370,10814742,4985985,9199273,0.432590,0.199439,0.367971,
25000000,2,1.242132,10814944,4985526,9199530,0.432598,0.199421,0.367981,
25000000,3,0.817199,10814521,4989210,9196269,0.432581,0.199568,0.367851,
25000000,4,0.619939,10819316,4984168,9196516,0.432773,0.199367,0.367861,
25000000,5,0.496478,10816855,4985455,9197690,0.432674,0.199418,0.367908,
25000000,6,0.412518,10816956,4982236,9200808,0.432678,0.199289,0.368032,
25000000,7,0.355494,10820579,4986016,9193405,0.432823,0.199441,0.367736,
25000000,8,0.309143,10813568,4984536,9201896,0.432543,0.199381,0.368076,
25000000,9,0.275967,10817199,4978285,9204516,0.432688,0.199131,0.368181,
25000000,10,0.247117,10824230,4984170,9191600,0.432969,0.199367,0.367664,
25000000,11,0.225889,10819064,4981174,9199762,0.432763,0.199247,0.367990,
25000000,12,0.206760,10812216,4986192,9201592,0.432489,0.199448,0.368064,
25000000,13,0.191128,10818704,4984876,9196420,0.432748,0.199395,0.367857,
25000000,14,0.177801,10803188,4989978,9206834,0.432128,0.199599,0.368273,
25000000,15,0.165749,10813645,4998495,9187860,0.432546,0.199940,0.367514,
25000000,16,0.156612,10815408,4988640,9195952,0.432616,0.199546,0.367838,
25000000,17,0.146517,10827147,4975883,9196970,0.433086,0.199035,0.367879,
25000000,18,0.138730,10816704,4982130,9201166,0.432668,0.199285,0.368047,
25000000,19,0.131281,10799866,4992611,9207523,0.431995,0.199704,0.368301,
25000000,20,0.124679,10808200,4992960,9198840,0.432328,0.199718,0.367954,
25000000,21,0.119080,10808368,4985547,9206085,0.432335,0.199422,0.368243,
25000000,22,0.113534,10805806,4994066,9200128,0.432232,0.199763,0.368005,
25000000,23,0.108801,10819419,4974670,9205911,0.432777,0.198987,0.368236,
25000000,24,0.104532,10807648,4988472,9203880,0.432306,0.199539,0.368155,
25000000,25,0.100333,10819175,4986175,9194650,0.432767,0.199447,0.367786,
25000000,26,0.096520,10843260,4984980,9171760,0.433730,0.199399,0.366870,
25000000,27,0.093036,10824838,4971645,9203517,0.432994,0.198866,0.368141,
25000000,28,0.090226,10841464,4977336,9181200,0.433659,0.199093,0.367248,
25000000,29,0.087033,10815608,4980982,9203410,0.432624,0.199239,0.368136,
25000000,30,0.084347,10821720,4960720,9217560,0.432869,0.198429,0.368702,
25000000,31,0.082102,10790542,4980956,9228502,0.431622,0.199238,0.369140,
25000000,32,0.078320,10830144,4986592,9183264,0.433206,0.199464,0.367331,
25000000,33,0.075893,10835839,4972539,9191622,0.433434,0.198902,0.367665,
25000000,34,0.074193,10827028,4980592,9192380,0.433081,0.199224,0.367695,
25000000,35,0.072094,10844750,4967015,9188235,0.433790,0.198681,0.367529,
25000000,36,0.070524,10850256,4970124,9179620,0.434010,0.198805,0.367185,
25000000,37,0.068322,10826866,4977154,9195980,0.433075,0.199086,0.367839,
25000000,38,0.066545,10785578,4993314,9221108,0.431423,0.199733,0.368844,
25000000,39,0.064812,10812399,5007079,9180522,0.432496,0.200283,0.367221,
25000000,40,0.063585,10824520,4971560,9203920,0.432981,0.198862,0.368157,
25000000,41,0.061419,10823180,4989909,9186911,0.432927,0.199596,0.367476,
25000000,42,0.060475,10831594,4968726,9199680,0.433264,0.198749,0.367987,
25000000,43,0.059356,10838623,4960925,9200452,0.433545,0.198437,0.368018,
25000000,44,0.057840,10843228,4944456,9212316,0.433729,0.197778,0.368493,
25000000,45,0.057095,10804795,4958145,9237060,0.432192,0.198326,0.369482,
25000000,46,0.055763,10839728,4964504,9195768,0.433589,0.198580,0.367831,
25000000,47,0.054024,10806898,4998398,9194704,0.432276,0.199936,0.367788,
25000000,48,0.053083,10798240,4959216,9242544,0.431930,0.198369,0.369702,
25000000,49,0.052191,10802838,5013239,9183923,0.432114,0.200530,0.367357,
25000000,50,0.050616,10845150,5010700,9144150,0.433806,0.200428,0.365766,
25000000,51,0.050385,10823377,4971429,9205194,0.432935,0.198857,0.368208,
25000000,52,0.050255,10842168,4996784,9161048,0.433687,0.199871,0.366442,
25000000,53,0.048782,10808555,5016350,9175095,0.432342,0.200654,0.367004,
25000000,54,0.048128,10791898,5006826,9201276,0.431676,0.200273,0.368051,
25000000,55,0.047469,10803870,5016440,9179690,0.432155,0.200658,0.367188,
25000000,56,0.047059,10827128,4987864,9185008,0.433085,0.199515,0.367400,
25000000,57,0.046132,10842568,4968063,9189369,0.433703,0.198723,0.367575,
25000000,58,0.045418,10789130,4980170,9230700,0.431565,0.199207,0.369228,
25000000,59,0.045067,10811396,4963257,9225347,0.432456,0.198530,0.369014,
25000000,60,0.044415,10834360,4970400,9195240,0.433374,0.198816,0.367810,
25000000,61,0.043291,10778944,5007982,9213074,0.431158,0.200319,0.368523,
25000000,62,0.042797,10841072,4963038,9195890,0.433643,0.198522,0.367836,
25000000,63,0.041908,10834324,5003460,9162216,0.433373,0.200138,0.366489,
25000000,64,0.041374,10770112,4988480,9241408,0.430804,0.199539,0.369656,
50000000,1,4.938565,21635458,9966651,18397891,0.432709,0.199333,0.367958,
50000000,2,2.480543,21630172,9969978,18399850,0.432603,0.199400,0.367997,
50000000,3,1.639172,21640814,9971664,18387522,0.432816,0.199433,0.367750,
50000000,4,1.230169,21639108,9982012,18378880,0.432782,0.199640,0.367578,
50000000,5,0.985964,21632780,9976920,18390300,0.432656,0.199538,0.367806,
50000000,6,0.820475,21635108,9957360,18407532,0.432702,0.199147,0.368151,
50000000,7,0.704205,21631576,9984191,18384233,0.432632,0.199684,0.367685,
50000000,8,0.615967,21635792,9971088,18393120,0.432716,0.199422,0.367862,
50000000,9,0.547628,21654572,9961983,18383445,0.433091,0.199240,0.367669,
50000000,10,0.493634,21623710,9957630,18418660,0.432474,0.199153,0.368373,
50000000,11,0.448550,21637050,9959114,18403836,0.432741,0.199182,0.368077,
50000000,12,0.410871,21653520,9971160,18375320,0.433070,0.199423,0.367506,
50000000,13,0.380699,21622976,9967776,18409248,0.432460,0.199356,0.368185,
50000000,14,0.354170,21646192,9951970,18401838,0.432924,0.199039,0.368037,
50000000,15,0.329266,21636945,9984960,18378095,0.432739,0.199699,0.367562,
50000000,16,0.309605,21613632,9984960,18401408,0.432273,0.199699,0.368028,
50000000,17,0.290214,21624688,9960351,18414961,0.432494,0.199207,0.368299,
50000000,18,0.274629,21609756,9994280,18395964,0.432195,0.199886,0.367919,
50000000,19,0.260523,21620270,9987559,18392171,0.432405,0.199751,0.367843,
50000000,20,0.248439,21614140,9968440,18417420,0.432283,0.199369,0.368348,
50000000,21,0.236128,21622931,9982308,18394761,0.432459,0.199646,0.367895,
50000000,22,0.225192,21650772,9971192,18378036,0.433015,0.199424,0.367561,
50000000,23,0.216471,21639941,9990027,18370032,0.432799,0.199801,0.367401,
50000000,24,0.207119,21640104,9974784,18385112,0.432802,0.199496,0.367702,
50000000,25,0.198888,21630775,9999050,18370175,0.432615,0.199981,0.367403,
50000000,26,0.190667,21650250,9966476,18383274,0.433005,0.199330,0.367665,
50000000,27,0.183773,21645873,9960917,18393210,0.432917,0.199218,0.367864,
50000000,28,0.177638,21629524,9955240,18415236,0.432590,0.199105,0.368305,
50000000,29,0.171165,21632840,9961732,18405428,0.432657,0.199235,0.368109,
50000000,30,0.165514,21625140,9972630,18402230,0.432503,0.199453,0.368045,
50000000,31,0.160377,21616021,9984549,18399430,0.432320,0.199691,0.367989,
50000000,32,0.155168,21621216,10004416,18374368,0.432424,0.200088,0.367487,
50000000,33,0.150750,21631170,9971544,18397286,0.432623,0.199431,0.367946,
50000000,34,0.145944,21652764,9972200,18375036,0.433055,0.199444,0.367501,
50000000,35,0.142121,21612920,9960825,18426255,0.432258,0.199216,0.368525,
50000000,36,0.138565,21604320,9955904,18439776,0.432086,0.199118,0.368796,
50000000,37,0.134517,21594236,10014235,18391529,0.431885,0.200285,0.367831,
50000000,38,0.130923,21650518,9965348,18384134,0.433010,0.199307,0.367683,
50000000,39,0.128026,21598980,9970662,18430358,0.431980,0.199413,0.368607,
50000000,40,0.124715,21677560,9955360,18367080,0.433551,0.199107,0.367342,
50000000,41,0.121585,21588263,9971331,18440406,0.431765,0.199427,0.368808,
50000000,42,0.118883,21682836,9905876,18411288,0.433657,0.198118,0.368226,
50000000,43,0.116415,21123270,9747557,17966382,0.422465,0.194951,0.359328,
50000000,44,0.113758,21155441,9759650,17948544,0.423109,0.195193,0.358971,
50000000,45,0.111026,21181512,9750096,17957280,0.423630,0.195002,0.359146,
50000000,46,0.108965,21176100,9784260,17952682,0.423522,0.195685,0.359054,
50000000,47,0.106540,21147902,9782673,18005596,0.422958,0.195653,0.360112,
50000000,48,0.104187,21170429,9782721,18005183,0.423409,0.195654,0.360104,
50000000,49,0.102810,21210864,9792487,17976240,0.424217,0.195850,0.359525,
50000000,50,0.100537,21237286,9783389,17979325,0.424746,0.195668,0.359586,
50000000,51,0.099163,21166100,9822400,18031107,0.423322,0.196448,0.360622,
50000000,52,0.096718,21176985,9775680,18085797,0.423540,0.195514,0.361716,
50000000,53,0.095531,21285888,9781316,17989400,0.425718,0.195626,0.359788,
50000000,54,0.093356,21256493,9773306,18044274,0.425130,0.195466,0.360885,
50000000,55,0.092328,21222481,9820872,18047556,0.424450,0.196417,0.360951,
50000000,56,0.089598,21194360,9821295,18091488,0.423887,0.196426,0.361830,
