P, N, T
1, 150000000, 2.787449
1, 250000000, 4.634683
1, 350000000, 6.508020
1, 450000000, 8.360590
1, 550000000, 10.167041
2, 150000000, 1.392727
2, 250000000, 2.313467
2, 350000000, 3.231822
2, 450000000, 4.158898
2, 550000000, 5.113571
3, 150000000, 0.922231
3, 250000000, 1.537308
3, 350000000, 2.151796
3, 450000000, 2.764225
3, 550000000, 3.377841
4, 150000000, 0.691695
4, 250000000, 1.150957
4, 350000000, 1.613909
4, 450000000, 2.073632
4, 550000000, 2.536045
5, 150000000, 0.553519
5, 250000000, 0.922707
5, 350000000, 1.290506
5, 450000000, 1.658651
5, 550000000, 2.026961
6, 150000000, 0.461437
6, 250000000, 0.768398
6, 350000000, 1.076013
6, 450000000, 1.383836
6, 550000000, 1.690750
7, 150000000, 0.395271
7, 250000000, 0.659443
7, 350000000, 0.923412
7, 450000000, 1.185823
7, 550000000, 1.449487
8, 150000000, 0.346090
8, 250000000, 0.576605
8, 350000000, 0.808069
8, 450000000, 1.035843
8, 550000000, 1.267487
9, 150000000, 0.307721
9, 250000000, 0.512657
9, 350000000, 0.717487
9, 450000000, 0.923214
9, 550000000, 1.127006
10, 150000000, 0.277088
10, 250000000, 0.461893
10, 350000000, 0.645467
10, 450000000, 0.830491
10, 550000000, 1.015897
11, 150000000, 0.252078
11, 250000000, 0.419374
11, 350000000, 0.587177
11, 450000000, 0.755266
11, 550000000, 0.922953
12, 150000000, 0.231477
12, 250000000, 0.384456
12, 350000000, 0.538195
12, 450000000, 0.691477
12, 550000000, 0.845872
13, 150000000, 0.213104
13, 250000000, 0.355000
13, 350000000, 0.496955
13, 450000000, 0.638496
13, 550000000, 0.781108
14, 150000000, 0.198444
14, 250000000, 0.329955
14, 350000000, 0.461402
14, 450000000, 0.592344
14, 550000000, 0.725072
15, 150000000, 0.184968
15, 250000000, 0.308118
15, 350000000, 0.431023
15, 450000000, 0.553738
15, 550000000, 0.676041
16, 150000000, 0.173854
16, 250000000, 0.288564
16, 350000000, 0.404416
16, 450000000, 0.519087
16, 550000000, 0.634591
